2020.12.08 17:07:35 INFO  Started: Metals version 0.9.7 in workspace 'C:\src\personal\labra.github.io' for client vscode.
2020.12.08 17:07:40 INFO  time: initialize in 5.04s
2020.12.08 17:07:43 WARN  Build server is not auto-connectable.
2020.12.08 17:07:43 WARN  no build tool detected in workspace 'C:\src\personal\labra.github.io'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.12.09 13:51:40 INFO  shutting down Metals
[0m2021.05.31 20:43:29 INFO  Started: Metals version 0.10.4 in workspace 'C:\src\personal\labra.github.io' for client Visual Studio Code 1.56.2.[0m
[0m2021.05.31 20:43:29 WARN  resetting database: C:\src\personal\labra.github.io\.metals\metals.h2.db[0m
[0m2021.05.31 20:43:33 INFO  time: initialize in 4.29s[0m
[0m2021.05.31 20:43:33 WARN  Build server is not auto-connectable.[0m
[0m2021.05.31 20:43:33 WARN  no build tool detected in workspace 'C:\src\personal\labra.github.io'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.05.31 23:46:49 INFO  shutting down Metals[0m
